epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3978.79,0.66027,0.99362,0.9906,0.83509,0.5638,0.64218,0.55678,0.71644,1.06928,1.00294,0.000307,0.000307,0.000307
44,4069.49,0.65488,0.9979,0.99076,0.84611,0.55683,0.6435,0.55674,0.71306,1.04821,1.00262,0.0002905,0.0002905,0.0002905
45,4159.54,0.65811,0.98399,0.99217,0.86295,0.55395,0.64877,0.56093,0.70997,1.02264,0.99745,0.000274,0.000274,0.000274
46,4250.63,0.65355,0.97945,0.98693,0.86554,0.56531,0.65381,0.56711,0.70807,1.00694,0.99885,0.0002575,0.0002575,0.0002575
47,4340.22,0.65337,0.98113,0.98859,0.86289,0.56513,0.65523,0.56808,0.70261,1.02908,0.99533,0.000241,0.000241,0.000241
48,4430.39,0.65072,0.96468,0.9896,0.85555,0.57009,0.6527,0.566,0.7052,1.02679,0.99745,0.0002245,0.0002245,0.0002245
49,4520.98,0.64807,0.95994,0.9858,0.85202,0.57271,0.65311,0.56724,0.69915,1.0406,0.99264,0.000208,0.000208,0.000208
50,4611.68,0.64664,0.95739,0.98642,0.85462,0.57872,0.65637,0.57039,0.69755,0.98855,0.99159,0.0001915,0.0001915,0.0001915
51,4708.24,0.61825,0.83502,0.97547,0.86124,0.57347,0.65931,0.57171,0.69854,0.96559,0.98939,0.000175,0.000175,0.000175
52,4796.49,0.60473,0.78552,0.96846,0.86946,0.57799,0.66366,0.57593,0.699,0.95008,0.993,0.0001585,0.0001585,0.0001585
53,4884.75,0.6071,0.79173,0.97093,0.88165,0.57788,0.66501,0.57876,0.69255,0.93891,0.98854,0.000142,0.000142,0.000142
54,4973.95,0.59801,0.77569,0.96491,0.87685,0.58014,0.66769,0.58091,0.68942,0.92916,0.98553,0.0001255,0.0001255,0.0001255
55,5061.98,0.59754,0.76138,0.9641,0.88265,0.57734,0.66874,0.58113,0.69166,0.92154,0.98508,0.000109,0.000109,0.000109
56,5150.03,0.59088,0.74816,0.96068,0.87198,0.58957,0.67166,0.58457,0.68583,0.91164,0.98327,9.25e-05,9.25e-05,9.25e-05
57,5237.73,0.59085,0.7382,0.95787,0.86548,0.5916,0.67077,0.58565,0.68188,0.90684,0.97882,7.6e-05,7.6e-05,7.6e-05
58,5325.74,0.58595,0.73342,0.96047,0.88012,0.58106,0.67051,0.58586,0.68217,0.90463,0.98126,5.95e-05,5.95e-05,5.95e-05
59,5413.76,0.58623,0.72858,0.95645,0.8811,0.58673,0.67346,0.58746,0.682,0.89741,0.98114,4.3e-05,4.3e-05,4.3e-05
60,5501.18,0.57773,0.71128,0.95399,0.88546,0.58453,0.67434,0.58877,0.67796,0.8902,0.97989,2.65e-05,2.65e-05,2.65e-05
