epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,5687.94,0.64864,1.65714,1.0737,0.98366,0,0.79618,0.5418,0.60993,0.52608,0.78319,0.52823,0.58322,0.43941,0.71776,1.76466,1.13944,1.00312,0,0.0007327,0.0007327,0.0007327
29,5887.03,0.65685,1.67915,1.07724,0.9888,0,0.81204,0.53215,0.61342,0.52919,0.79985,0.52055,0.58871,0.44332,0.72023,1.74511,1.12581,1.00205,0,0.0007228,0.0007228,0.0007228
30,6090.48,0.63948,1.65717,1.04969,0.98146,0,0.80519,0.54802,0.62042,0.53871,0.79888,0.52895,0.59326,0.45098,0.70745,1.73702,1.12831,0.9958,0,0.0007129,0.0007129,0.0007129
31,6290.38,0.64945,1.67415,1.051,0.98413,0,0.81181,0.54808,0.6258,0.54091,0.79739,0.5285,0.59687,0.45176,0.72024,1.73227,1.08811,0.99991,0,0.000703,0.000703,0.000703
32,6488.85,0.64158,1.63665,1.0302,0.9818,0,0.79677,0.54986,0.61825,0.53565,0.78746,0.52644,0.58986,0.44767,0.7105,1.73028,1.10986,0.9944,0,0.0006931,0.0006931,0.0006931
33,6685.75,0.64633,1.65827,1.03675,0.98137,0,0.82412,0.54306,0.62854,0.54367,0.81322,0.52416,0.60023,0.456,0.70586,1.72856,1.06384,0.99634,0,0.0006832,0.0006832,0.0006832
34,6888.15,0.63924,1.64432,1.02473,0.97935,0,0.82705,0.55376,0.6358,0.55269,0.81427,0.53996,0.6097,0.4642,0.70163,1.70128,1.05983,0.99257,0,0.0006733,0.0006733,0.0006733
35,7088.31,0.63177,1.62249,1.01076,0.97486,0,0.83851,0.55522,0.64256,0.55589,0.82354,0.53788,0.61254,0.46468,0.68967,1.70228,1.03675,0.98245,0,0.0006634,0.0006634,0.0006634
36,7284.25,0.63139,1.61582,1.00585,0.97658,0,0.83994,0.55084,0.63843,0.55505,0.83157,0.53921,0.61653,0.46419,0.68431,1.70041,1.04279,0.98355,0,0.0006535,0.0006535,0.0006535
37,7482.82,0.63217,1.60757,0.99881,0.97369,0,0.64788,0.56588,0.63771,0.5525,0.64286,0.54322,0.6122,0.46776,0.68922,1.67865,1.0526,0.9859,0,0.0006436,0.0006436,0.0006436
38,7679.27,0.63867,1.63264,1.00195,0.97989,0,0.83505,0.56099,0.64349,0.55799,0.82303,0.54627,0.61731,0.46893,0.6926,1.69208,1.07157,0.98592,0,0.0006337,0.0006337,0.0006337
39,7875.87,0.62755,1.58677,0.98153,0.9693,0,0.83958,0.56,0.64474,0.56155,0.82585,0.54655,0.61989,0.47241,0.68698,1.67921,1.03558,0.97982,0,0.0006238,0.0006238,0.0006238
40,8074.95,0.6321,1.60718,0.98319,0.97261,0,0.83399,0.57214,0.64854,0.5639,0.82366,0.55606,0.62331,0.47347,0.68348,1.66552,1.03364,0.9816,0,0.0006139,0.0006139,0.0006139
41,8273.99,0.62304,1.59172,0.97217,0.9683,0,0.85414,0.56377,0.65168,0.56832,0.84254,0.54998,0.62711,0.47956,0.66773,1.65121,1.00512,0.97443,0,0.000604,0.000604,0.000604
42,8470.75,0.61986,1.58269,0.95198,0.97085,0,0.84028,0.57242,0.65406,0.56871,0.83873,0.55155,0.62717,0.47711,0.67627,1.6614,0.99437,0.97733,0,0.0005941,0.0005941,0.0005941
43,8671.52,0.61851,1.58821,0.94433,0.96573,0,0.83797,0.57843,0.65742,0.57392,0.82438,0.56405,0.6316,0.48254,0.6738,1.65279,0.99992,0.97429,0,0.0005842,0.0005842,0.0005842
44,8870.14,0.61322,1.57872,0.94941,0.96619,0,0.85369,0.57271,0.661,0.57657,0.8462,0.5507,0.63646,0.48597,0.66655,1.65928,0.97983,0.97069,0,0.0005743,0.0005743,0.0005743
45,9067.72,0.6128,1.5631,0.93638,0.96505,0,0.84987,0.58429,0.66204,0.57729,0.84074,0.56754,0.63652,0.48426,0.66376,1.64979,0.96828,0.97158,0,0.0005644,0.0005644,0.0005644
46,9265.53,0.61034,1.56429,0.92887,0.96116,0,0.84183,0.58954,0.66212,0.5783,0.83414,0.567,0.63595,0.48617,0.66292,1.63324,0.96187,0.96975,0,0.0005545,0.0005545,0.0005545
47,9466.43,0.61257,1.56506,0.9353,0.96655,0,0.87065,0.57339,0.66818,0.58363,0.85601,0.55891,0.64189,0.48936,0.65864,1.64445,0.96373,0.97079,0,0.0005446,0.0005446,0.0005446
48,9668.31,0.60925,1.56276,0.92572,0.96482,0,0.84983,0.59332,0.66944,0.58606,0.83618,0.57766,0.64354,0.49241,0.65356,1.61745,0.93819,0.96649,0,0.0005347,0.0005347,0.0005347
49,9868.32,0.60957,1.54491,0.9119,0.96107,0,0.86586,0.58259,0.6701,0.58397,0.85433,0.56584,0.64304,0.49072,0.66194,1.62158,0.94918,0.96354,0,0.0005248,0.0005248,0.0005248
50,10067.2,0.60603,1.55336,0.90836,0.96113,0,0.85906,0.591,0.67228,0.58827,0.85715,0.57111,0.64633,0.49486,0.6459,1.61164,0.92261,0.96128,0,0.0005149,0.0005149,0.0005149
